symbol,sector,listing_date
360ONE,Financial Services,2019-09-19
3MINDIA,Diversified,2004-08-13
AADHARHFC,Financial Services,2024-05-15
AARTIIND,Chemicals,1995-02-08
AAVAS,Financial Services,2018-10-08
ABB,Capital Goods,1995-02-08
ABBOTINDIA,Healthcare,2010-01-08
ABCAPITAL,Financial Services,2017-09-01
ABDL,Fast Moving Consumer Goods,2024-07-02
ABFRL,Consumer Services,2013-07-17
ABLBL,Consumer Services,2025-06-23
ABREL,Realty,2003-06-27
ABSLAMC,Financial Services,2021-10-11
ACC,Construction Materials,1996-11-20
ACE,Capital Goods,2006-09-26
ACMESOLAR,Power,2024-11-13
ACUTAAS,Healthcare,2021-09-14
ADANIENSOL,Power,2015-07-31
ADANIENT,Metals & Mining,1997-06-04
ADANIGREEN,Power,2018-06-18
ADANIPORTS,Services,2007-11-27
ADANIPOWER,Power,2009-08-20
AEGISLOG,Oil Gas & Consumable Fuels,1996-04-03
AEGISVOPAK,Oil Gas & Consumable Fuels,2025-06-02
AFCONS,Construction,2024-11-04
AFFLE,Information Technology,2019-08-08
AIAENG,Capital Goods,2005-12-14
AIIL,Financial Services,2024-04-23
AJANTPHARM,Healthcare,2000-05-29
ALKEM,Healthcare,2015-12-23
AMBER,Consumer Durables,2018-01-30
AMBUJACEM,Construction Materials,1998-02-18
ANANDRATHI,Financial Services,2021-12-14
ANANTRAJ,Realty,2006-09-27
ANGELONE,Financial Services,2020-10-05
ANTHEM,Healthcare,2025-07-21
ANURAS,Chemicals,2021-03-24
APARINDS,Capital Goods,2004-07-12
APLAPOLLO,Capital Goods,2011-12-14
APOLLOHOSP,Healthcare,1996-01-10
APOLLOTYRE,Automobile and Auto Components,1995-05-31
APTUS,Financial Services,2021-08-24
ARE&M,Automobile and Auto Components,2003-09-05
ASAHIINDIA,Automobile and Auto Components,1998-03-18
ASHOKLEY,Capital Goods,1995-05-25
ASIANPAINT,Consumer Durables,1995-05-31
ASTERDM,Healthcare,2018-02-26
ASTRAL,Capital Goods,2007-03-20
ATGL,Oil Gas & Consumable Fuels,2018-11-05
ATHERENERG,Automobile and Auto Components,2025-05-06
ATUL,Chemicals,1998-05-06
AUBANK,Financial Services,2017-07-10
AUROPHARMA,Healthcare,2000-07-19
AWL,Fast Moving Consumer Goods,2022-02-08
AXISBANK,Financial Services,1998-11-16
BAJAJ-AUTO,Automobile and Auto Components,2008-05-26
BAJAJFINSV,Financial Services,2008-05-26
BAJAJHFL,Financial Services,2024-09-16
BAJAJHLDNG,Financial Services,1995-03-15
BAJFINANCE,Financial Services,2003-04-01
BALKRISIND,Automobile and Auto Components,2006-01-27
BALRAMCHIN,Fast Moving Consumer Goods,1995-02-08
BANDHANBNK,Financial Services,2018-03-27
BANKBARODA,Financial Services,1997-02-19
BANKINDIA,Financial Services,1997-04-30
BATAINDIA,Consumer Durables,2003-06-18
BAYERCROP,Chemicals,2010-01-08
BBTC,Fast Moving Consumer Goods,1996-04-03
BDL,Capital Goods,2018-03-23
BEL,Capital Goods,2000-07-19
BELRISE,Automobile and Auto Components,2025-05-28
BEML,Capital Goods,2003-11-05
BERGEPAINT,Consumer Durables,1999-11-24
BHARATFORG,Automobile and Auto Components,2003-04-04
BHARTIARTL,Telecommunication,2002-02-15
BHARTIHEXA,Telecommunication,2024-04-12
BHEL,Capital Goods,2003-11-11
BIKAJI,Fast Moving Consumer Goods,2022-11-16
BIOCON,Healthcare,2004-04-07
BLS,Consumer Services,2016-06-14
BLUEDART,Services,2002-12-12
BLUEJET,Healthcare,2023-11-01
BLUESTARCO,Consumer Durables,2000-06-15
BOSCHLTD,Automobile and Auto Components,2003-05-12
BPCL,Oil Gas & Consumable Fuels,1995-09-13
BRIGADE,Realty,2007-12-31
BRITANNIA,Fast Moving Consumer Goods,1998-11-05
BSE,Financial Services,2017-02-03
BSOFT,Information Technology,1999-11-24
CAMS,Financial Services,2021-05-07
CANBK,Financial Services,2002-12-23
CANFINHOME,Financial Services,1995-05-10
CANHLIFE,Financial Services,2025-10-17
CAPLIPOINT,Healthcare,2014-06-23
CARBORUNIV,Capital Goods,1996-04-03
CARTRADE,Consumer Services,2021-08-20
CASTROLIND,Oil Gas & Consumable Fuels,2014-03-14
CCL,Fast Moving Consumer Goods,2004-06-07
CDSL,Financial Services,2017-06-30
CEATLTD,Automobile and Auto Components,2008-02-01
CEMPRO,Construction,1999-02-10
CENTRALBK,Financial Services,2007-08-21
CESC,Power,1995-02-08
CGCL,Financial Services,2010-10-29
CGPOWER,Capital Goods,1995-03-01
CHALET,Consumer Services,2019-02-07
CHAMBLFERT,Chemicals,1995-06-14
CHENNPETRO,Oil Gas & Consumable Fuels,2000-06-07
CHOICEIN,Financial Services,2022-04-08
CHOLAFIN,Financial Services,1996-05-15
CHOLAHLDNG,Financial Services,2017-09-25
CIEINDIA,Automobile and Auto Components,2007-08-30
CIPLA,Healthcare,1995-02-08
CLEAN,Chemicals,2021-07-19
COALINDIA,Oil Gas & Consumable Fuels,2010-11-04
COCHINSHIP,Capital Goods,2017-08-11
COFORGE,Information Technology,2004-08-30
COHANCE,Healthcare,2020-03-09
COLPAL,Fast Moving Consumer Goods,2007-12-17
CONCOR,Services,1997-05-07
CONCORDBIO,Healthcare,2023-08-18
COROMANDEL,Chemicals,1995-05-31
CPPLUS,Capital Goods,2025-08-05
CRAFTSMAN,Automobile and Auto Components,2021-03-25
CREDITACC,Financial Services,2018-08-23
CRISIL,Financial Services,1995-06-28
CROMPTON,Consumer Durables,2016-05-13
CUB,Financial Services,1998-08-25
CUMMINSIND,Capital Goods,1995-03-29
CYIENT,Information Technology,1998-09-30
DABUR,Fast Moving Consumer Goods,1999-04-28
DALBHARAT,Construction Materials,2019-01-22
DATAPATTNS,Capital Goods,2021-12-24
DCMSHRIRAM,Diversified,1995-04-12
DEEPAKFERT,Chemicals,2003-01-17
DEEPAKNTR,Chemicals,2010-09-29
DELHIVERY,Services,2022-05-24
DEVYANI,Consumer Services,2021-08-16
DIVISLAB,Healthcare,2003-03-12
DIXON,Consumer Durables,2017-09-18
DLF,Realty,2007-07-05
DMART,Consumer Services,2017-03-21
DOMS,Fast Moving Consumer Goods,2023-12-20
DRREDDY,Healthcare,2003-05-30
ECLERX,Services,2007-12-31
EICHERMOT,Automobile and Auto Components,2004-09-07
EIDPARRY,Fast Moving Consumer Goods,1995-05-10
EIHOTEL,Consumer Services,1995-02-08
ELECON,Capital Goods,2006-09-29
ELGIEQUIP,Capital Goods,1995-11-22
EMAMILTD,Fast Moving Consumer Goods,2006-08-03
EMCURE,Healthcare,2024-07-10
EMMVEE,Capital Goods,2025-11-18
ENDURANCE,Automobile and Auto Components,2016-10-19
ENGINERSIN,Construction,1997-08-20
ENRIN,Capital Goods,2025-06-19
ERIS,Healthcare,2017-06-29
ESCORTS,Capital Goods,1995-03-01
ETERNAL,Consumer Services,2021-07-23
EXIDEIND,Automobile and Auto Components,2003-06-17
FACT,Chemicals,1995-04-12
FEDERALBNK,Financial Services,1995-02-08
FINCABLES,Capital Goods,1995-02-15
FIRSTCRY,Consumer Services,2024-08-13
FIVESTAR,Financial Services,2022-11-21
FLUOROCHEM,Chemicals,2019-10-16
FORCEMOT,Automobile and Auto Components,2024-02-14
FORTIS,Healthcare,2007-05-09
FSL,Services,2007-02-22
GABRIEL,Automobile and Auto Components,2005-04-20
GAIL,Oil Gas & Consumable Fuels,1997-04-02
GALLANTT,Capital Goods,2006-04-04
GESHIP,Services,2006-11-27
GICRE,Financial Services,2017-10-25
GILLETTE,Fast Moving Consumer Goods,2003-07-30
GLAND,Healthcare,2020-11-20
GLAXO,Healthcare,2000-12-15
GLENMARK,Healthcare,2000-02-07
GMDCLTD,Metals & Mining,1997-12-17
GMRAIRPORT,Services,2006-08-21
GODFRYPHLP,Fast Moving Consumer Goods,1996-07-24
GODIGIT,Financial Services,2024-05-23
GODREJCP,Fast Moving Consumer Goods,2001-06-20
GODREJIND,Diversified,2003-02-25
GODREJPROP,Realty,2010-01-05
GPIL,Capital Goods,2006-04-25
GRANULES,Healthcare,2005-06-20
GRAPHITE,Capital Goods,2003-02-07
GRASIM,Construction Materials,1995-05-10
GRAVITA,Metals & Mining,2010-11-16
GROWW,Financial Services,2025-11-12
GRSE,Capital Goods,2018-10-10
GVT&D,Capital Goods,2008-06-30
HAL,Capital Goods,2018-03-28
HAVELLS,Consumer Durables,2001-03-21
HBLENGINE,Capital Goods,2007-01-04
HCLTECH,Information Technology,2000-01-06
HDBFS,Financial Services,2025-07-02
HDFCAMC,Financial Services,2018-08-06
HDFCBANK,Financial Services,1995-11-08
HDFCLIFE,Financial Services,2017-11-17
HEG,Capital Goods,1995-05-10
